# This file contains the information on the "speed bonus" values for each
# type of transport in each era. It is specific to a pakset.
#
# Note that, for Simutrans-Ex, the values of all land-based transport should
# be the same, except for water transport.
#
# Pak128.Britain-Ex
# August 2009
# James E. Petts

track=1750,4,1820,8,1830,18,1835,28,1850,42,1855,55,1870,57,1890,62,1930,70,1955,85,1965,90,1975,95,1990,105,2000,110,2050,130

road=1750,4,1820,8,1830,18,1835,28,1850,42,1855,55,1870,57,1890,62,1930,70,1955,85,1965,90,1975,95,1990,105,2000,110,2050,130

monorail_track=1750,4,1820,8,1830,18,1835,28,1850,42,1855,55,1870,57,1890,62,1930,70,1955,85,1965,90,1975,95,1990,105,2000,110,2050,130

tram_track=1750,4,1820,8,1830,18,1835,28,1850,42,1855,55,1870,57,1890,62,1930,70,1955,85,1965,90,1975,95,1990,105,2000,110,2050,130

narrowgauge=1750,4,1820,8,1830,18,1835,28,1850,42,1855,55,1870,57,1890,62,1930,70,1955,85,1965,90,1975,95,1990,105,2000,110,2050,130
 
maglev_track=1750,4,1820,8,1830,18,1835,28,1850,42,1855,55,1870,57,1890,62,1930,70,1955,85,1965,90,1975,95,1990,105,2000,110,2050,130

water=1750,8,1933,13,1955,16,1972,18,2010,20,2025,25

air=1905,62,1930,70,1955,85,1965,90,1975,95,1990,105,2000,110,2050,130
